ReturnID,SaleID,ReturnDate,ReturnQuantity,ReturnAmount,ReturnReason,ModifiedDate,CreatedDate,UpdatedDate
200071,105580,2026-01-21,2,2002.6,Defective,2026-01-23 23:16:58,2026-01-21 00:16:58,2026-01-23 23:16:58
200072,102688,2026-01-20,1,1847.28,Damaged,2026-01-23 07:07:52,2026-01-20 12:07:52,2026-01-23 07:07:52
200073,102915,2026-01-12,2,4631.82,Defective,2026-01-13 19:38:43,2026-01-12 05:38:43,2026-01-13 19:38:43
200074,142092,2026-01-19,1,1218.77,Damaged,2026-01-21 11:20:44,2026-01-19 10:20:44,2026-01-21 11:20:44
200075,135061,2026-01-28,1,1238.27,Damaged,2026-01-29 04:18:35,2026-01-28 21:18:35,2026-01-29 04:18:35
200076,121908,2026-01-23,2,3192.24,Defective,2026-01-26 11:05:08,2026-01-23 07:05:08,2026-01-26 11:05:08
200077,104977,2026-01-05,1,3801.55,Customer Changed Mind,2026-01-06 04:14:33,2026-01-05 16:14:33,2026-01-06 04:14:33
200078,123605,2026-01-16,1,3521.16,Late Delivery,2026-01-20 11:16:49,2026-01-16 23:16:49,2026-01-20 11:16:49
200079,104456,2026-01-28,1,2912.8,Customer Changed Mind,2026-01-31 18:11:02,2026-01-28 01:11:02,2026-01-31 18:11:02
200080,127994,2026-01-07,1,1559.23,Customer Changed Mind,2026-01-08 05:26:20,2026-01-07 10:26:20,2026-01-08 05:26:20
200081,104389,2026-01-22,1,3360.51,Customer Changed Mind,2026-01-26 12:16:09,2026-01-22 15:16:09,2026-01-26 12:16:09
200082,101990,2026-01-20,2,6347.99,Late Delivery,2026-01-22 18:27:33,2026-01-20 05:27:33,2026-01-22 18:27:33
200083,100407,2026-01-25,1,5784.76,Defective,2026-01-28 10:22:58,2026-01-25 22:22:58,2026-01-28 10:22:58
200084,128286,2026-01-02,3,1820.22,Wrong Product,2026-01-04 23:16:51,2026-01-02 17:16:51,2026-01-04 23:16:51
200085,100123,2026-01-04,3,6209.12,Customer Changed Mind,2026-01-06 03:32:57,2026-01-04 02:32:57,2026-01-06 03:32:57
200086,143309,2026-01-07,1,3800.74,Defective,2026-01-09 01:00:07,2026-01-07 05:00:07,2026-01-09 01:00:07
200087,130270,2026-01-24,1,4155.54,Customer Changed Mind,2026-01-26 00:50:28,2026-01-24 19:50:28,2026-01-26 00:50:28
200088,132697,2026-01-06,1,1479.53,Damaged,2026-01-08 10:40:34,2026-01-06 16:40:34,2026-01-08 10:40:34
200089,110519,2026-01-28,2,421.85,Defective,2026-01-28 23:24:08,2026-01-28 21:24:08,2026-01-28 23:24:08
200090,138192,2026-01-20,1,3249.43,Damaged,2026-01-22 10:16:21,2026-01-20 07:16:21,2026-01-22 10:16:21
200091,120926,2026-01-03,3,5323.09,Damaged,2026-01-05 23:19:23,2026-01-03 00:19:23,2026-01-05 23:19:23
200092,127722,2026-01-01,1,2334.93,Wrong Product,2026-01-03 18:32:43,2026-01-01 03:32:43,2026-01-03 18:32:43
200093,121790,2026-01-25,2,1845.93,Damaged,2026-01-27 08:52:57,2026-01-25 03:52:57,2026-01-27 08:52:57
200094,115785,2026-01-21,1,3184.0,Late Delivery,2026-01-21 09:19:48,2026-01-21 06:19:48,2026-01-21 09:19:48
200095,121218,2026-01-28,2,5107.52,Customer Changed Mind,2026-01-31 10:52:44,2026-01-28 05:52:44,2026-01-31 10:52:44
200096,134928,2026-01-23,1,1489.24,Late Delivery,2026-01-23 23:30:06,2026-01-23 19:30:06,2026-01-23 23:30:06
200097,109336,2026-01-05,1,6195.11,Defective,2026-01-06 19:20:07,2026-01-05 00:20:07,2026-01-06 19:20:07
200098,132729,2026-01-12,3,5776.88,Late Delivery,2026-01-14 19:26:42,2026-01-12 04:26:42,2026-01-14 19:26:42
200099,108920,2026-01-27,2,3717.28,Damaged,2026-01-27 15:12:58,2026-01-27 11:12:58,2026-01-27 15:12:58
200100,108449,2026-01-26,1,4902.09,Wrong Product,2026-01-28 18:29:13,2026-01-26 18:29:13,2026-01-28 18:29:13
200101,137785,2026-01-18,2,1311.36,Damaged,2026-01-19 17:09:03,2026-01-18 08:09:03,2026-01-19 17:09:03
200102,105351,2026-01-22,3,2066.75,Wrong Product,2026-01-26 02:33:13,2026-01-22 19:33:13,2026-01-26 02:33:13
200103,130035,2026-01-29,1,2733.53,Defective,2026-01-30 07:44:20,2026-01-29 02:44:20,2026-01-30 07:44:20
200104,143784,2026-01-05,3,5034.85,Late Delivery,2026-01-07 12:08:19,2026-01-05 17:08:19,2026-01-07 12:08:19
200105,117216,2026-01-20,2,2340.68,Customer Changed Mind,2026-01-22 01:07:05,2026-01-20 11:07:05,2026-01-22 01:07:05
200106,141067,2026-01-17,1,4012.26,Damaged,2026-01-18 07:23:36,2026-01-17 02:23:36,2026-01-18 07:23:36
200107,120929,2026-01-29,1,1742.17,Wrong Product,2026-02-01 06:34:30,2026-01-29 18:34:30,2026-02-01 06:34:30
200108,146210,2026-01-09,1,1684.13,Customer Changed Mind,2026-01-11 04:55:19,2026-01-09 17:55:19,2026-01-11 04:55:19
200109,135473,2026-01-24,1,1752.68,Late Delivery,2026-01-26 17:13:05,2026-01-24 19:13:05,2026-01-26 17:13:05
200110,126089,2026-01-14,1,6499.14,Defective,2026-01-14 12:45:04,2026-01-14 10:45:04,2026-01-14 12:45:04
200111,137383,2026-01-26,3,338.69,Late Delivery,2026-01-28 03:44:00,2026-01-26 19:44:00,2026-01-28 03:44:00
200112,148137,2026-01-10,1,429.1,Wrong Product,2026-01-12 12:27:27,2026-01-10 23:27:27,2026-01-12 12:27:27
200113,123944,2026-01-14,1,5960.22,Late Delivery,2026-01-16 02:38:28,2026-01-14 06:38:28,2026-01-16 02:38:28
200114,116354,2026-01-16,2,4356.26,Defective,2026-01-19 18:42:59,2026-01-16 23:42:59,2026-01-19 18:42:59
200115,109301,2026-01-19,1,1170.9,Defective,2026-01-21 22:54:04,2026-01-19 17:54:04,2026-01-21 22:54:04
200116,122893,2026-01-22,2,4533.55,Damaged,2026-01-23 11:45:47,2026-01-22 14:45:47,2026-01-23 11:45:47
200117,120556,2026-01-13,1,5821.91,Defective,2026-01-15 23:58:27,2026-01-13 09:58:27,2026-01-15 23:58:27
200118,142456,2026-01-19,2,919.97,Late Delivery,2026-01-21 19:58:54,2026-01-19 08:58:54,2026-01-21 19:58:54
200119,115774,2026-01-30,1,1818.98,Late Delivery,2026-01-31 23:09:55,2026-01-30 06:09:55,2026-01-31 23:09:55
200120,108867,2026-01-29,3,2754.43,Defective,2026-02-02 02:42:47,2026-01-29 14:42:47,2026-02-02 02:42:47
200121,127372,2026-01-20,1,5644.12,Defective,2026-01-21 00:19:48,2026-01-20 22:19:48,2026-01-21 00:19:48
200122,126712,2026-01-20,3,1312.82,Wrong Product,2026-01-24 02:54:09,2026-01-20 04:54:09,2026-01-24 02:54:09
200123,138831,2026-01-19,1,325.05,Customer Changed Mind,2026-01-22 19:33:09,2026-01-19 02:33:09,2026-01-22 19:33:09
200124,105866,2026-01-14,2,3328.95,Wrong Product,2026-01-14 20:40:31,2026-01-14 00:40:31,2026-01-14 20:40:31
200125,148818,2026-01-30,1,3977.08,Defective,2026-01-31 05:07:07,2026-01-30 05:07:07,2026-01-31 05:07:07
200126,116668,2026-01-30,1,1411.08,Damaged,2026-02-02 06:23:41,2026-01-30 21:23:41,2026-02-02 06:23:41
200127,105148,2026-01-06,1,1393.14,Defective,2026-01-08 19:25:45,2026-01-06 18:25:45,2026-01-08 19:25:45
200128,145884,2026-01-16,1,4437.04,Late Delivery,2026-01-19 22:54:58,2026-01-16 19:54:58,2026-01-19 22:54:58
200129,132414,2026-01-18,1,5595.27,Defective,2026-01-21 01:17:35,2026-01-18 19:17:35,2026-01-21 01:17:35
200130,118420,2026-01-21,1,6458.97,Damaged,2026-01-24 09:47:06,2026-01-21 00:47:06,2026-01-24 09:47:06
200131,102681,2026-01-23,3,4802.76,Customer Changed Mind,2026-01-24 02:19:10,2026-01-23 19:19:10,2026-01-24 02:19:10
200132,126945,2026-01-05,3,1349.03,Late Delivery,2026-01-06 09:13:40,2026-01-05 20:13:40,2026-01-06 09:13:40
200133,145165,2026-01-18,2,6284.58,Defective,2026-01-19 04:10:24,2026-01-18 07:10:24,2026-01-19 04:10:24
200134,124390,2026-01-09,2,3616.66,Damaged,2026-01-12 13:27:56,2026-01-09 23:27:56,2026-01-12 13:27:56
200135,129941,2026-01-16,3,3338.55,Customer Changed Mind,2026-01-16 04:11:28,2026-01-16 00:11:28,2026-01-16 04:11:28
200136,125519,2026-01-31,1,3599.3,Defective,2026-02-02 02:29:36,2026-01-31 11:29:36,2026-02-02 02:29:36
200137,128705,2026-01-09,1,1529.07,Defective,2026-01-10 15:32:23,2026-01-09 17:32:23,2026-01-10 15:32:23
200138,101086,2026-01-19,1,452.75,Late Delivery,2026-01-22 20:58:40,2026-01-19 21:58:40,2026-01-22 20:58:40
200139,112226,2026-01-01,1,2584.05,Wrong Product,2026-01-01 15:58:06,2026-01-01 07:58:06,2026-01-01 15:58:06
200140,136357,2026-01-07,2,3314.99,Customer Changed Mind,2026-01-09 09:36:51,2026-01-07 20:36:51,2026-01-09 09:36:51
200141,142129,2026-01-12,1,2615.98,Wrong Product,2026-01-15 17:15:19,2026-01-12 08:15:19,2026-01-15 17:15:19
200142,106368,2026-01-09,1,5046.61,Damaged,2026-01-09 08:58:58,2026-01-09 02:58:58,2026-01-09 08:58:58
200143,147976,2026-01-28,1,694.54,Wrong Product,2026-01-31 16:15:36,2026-01-28 12:15:36,2026-01-31 16:15:36
200144,116938,2026-01-28,2,5164.59,Wrong Product,2026-01-29 05:11:32,2026-01-28 20:11:32,2026-01-29 05:11:32
200145,135976,2026-01-21,3,307.66,Defective,2026-01-22 06:49:25,2026-01-21 19:49:25,2026-01-22 06:49:25
200146,146159,2026-01-06,1,2760.37,Defective,2026-01-09 14:59:33,2026-01-06 03:59:33,2026-01-09 14:59:33
200147,139383,2026-01-21,1,6378.64,Wrong Product,2026-01-24 13:24:28,2026-01-21 23:24:28,2026-01-24 13:24:28
200148,124197,2026-01-26,3,3759.44,Wrong Product,2026-01-29 02:34:06,2026-01-26 01:34:06,2026-01-29 02:34:06
200149,110913,2026-01-06,2,811.84,Defective,2026-01-09 17:07:59,2026-01-06 12:07:59,2026-01-09 17:07:59
200150,123580,2026-01-31,3,3800.46,Customer Changed Mind,2026-02-03 23:59:01,2026-01-31 21:59:01,2026-02-03 23:59:01
200151,110476,2026-01-05,1,1432.28,Damaged,2026-01-08 00:48:54,2026-01-05 06:48:54,2026-01-08 00:48:54
200152,101586,2026-01-14,1,4489.45,Wrong Product,2026-01-17 23:49:56,2026-01-14 10:49:56,2026-01-17 23:49:56
200153,141452,2026-01-21,1,992.48,Damaged,2026-01-23 14:05:47,2026-01-21 14:05:47,2026-01-23 14:05:47
200154,106115,2026-01-17,2,364.03,Late Delivery,2026-01-18 08:36:18,2026-01-17 00:36:18,2026-01-18 08:36:18
200155,121328,2026-01-24,2,6422.68,Wrong Product,2026-01-25 11:40:22,2026-01-24 12:40:22,2026-01-25 11:40:22
200156,133203,2026-01-25,2,5648.84,Damaged,2026-01-27 11:58:30,2026-01-25 13:58:30,2026-01-27 11:58:30
200157,139712,2026-01-30,2,1113.35,Customer Changed Mind,2026-01-30 12:54:09,2026-01-30 00:54:09,2026-01-30 12:54:09
200158,132267,2026-01-25,3,439.85,Customer Changed Mind,2026-01-28 11:47:43,2026-01-25 13:47:43,2026-01-28 11:47:43
200159,136721,2026-01-27,1,2630.85,Defective,2026-01-30 02:29:15,2026-01-27 15:29:15,2026-01-30 02:29:15
200160,145312,2026-01-16,1,5671.11,Late Delivery,2026-01-17 05:55:02,2026-01-16 17:55:02,2026-01-17 05:55:02
200161,122428,2026-01-25,3,2747.08,Defective,2026-01-27 18:02:44,2026-01-25 23:02:44,2026-01-27 18:02:44
200162,134718,2026-01-13,1,3442.79,Defective,2026-01-13 14:30:39,2026-01-13 02:30:39,2026-01-13 14:30:39
200163,130264,2026-01-16,2,1589.09,Damaged,2026-01-17 12:31:03,2026-01-16 21:31:03,2026-01-17 12:31:03
200164,119546,2026-01-09,3,300.55,Defective,2026-01-13 05:44:34,2026-01-09 22:44:34,2026-01-13 05:44:34
200165,145023,2026-01-07,1,1926.08,Customer Changed Mind,2026-01-08 07:16:00,2026-01-07 17:16:00,2026-01-08 07:16:00
200166,107379,2026-01-05,1,874.71,Customer Changed Mind,2026-01-06 21:44:12,2026-01-05 20:44:12,2026-01-06 21:44:12
200167,133409,2026-01-19,1,1453.21,Late Delivery,2026-01-20 04:19:13,2026-01-19 01:19:13,2026-01-20 04:19:13
200168,115747,2026-01-14,1,527.18,Defective,2026-01-15 22:22:55,2026-01-14 08:22:55,2026-01-15 22:22:55
200169,105172,2026-01-07,2,1686.85,Late Delivery,2026-01-08 02:39:35,2026-01-07 01:39:35,2026-01-08 02:39:35
200170,135431,2026-01-20,1,6285.58,Defective,2026-01-21 00:09:27,2026-01-20 15:09:27,2026-01-21 00:09:27
200171,147246,2026-01-26,1,5586.69,Damaged,2026-01-28 21:10:10,2026-01-26 00:10:10,2026-01-28 21:10:10
200172,112564,2026-01-01,2,2698.23,Defective,2026-01-04 14:23:52,2026-01-01 16:23:52,2026-01-04 14:23:52
200173,100210,2026-01-05,2,3094.65,Wrong Product,2026-01-08 18:04:25,2026-01-05 01:04:25,2026-01-08 18:04:25
200174,110019,2026-01-20,3,806.15,Defective,2026-01-22 05:51:33,2026-01-20 03:51:33,2026-01-22 05:51:33
200175,144922,2026-01-20,2,4872.15,Wrong Product,2026-01-23 20:35:49,2026-01-20 16:35:49,2026-01-23 20:35:49
200176,140752,2026-01-19,1,939.81,Damaged,2026-01-21 14:15:41,2026-01-19 04:15:41,2026-01-21 14:15:41
200177,104542,2026-01-09,3,3223.2,Wrong Product,2026-01-10 10:11:57,2026-01-09 00:11:57,2026-01-10 10:11:57
200178,147558,2026-01-27,1,5552.46,Damaged,2026-01-28 00:31:58,2026-01-27 09:31:58,2026-01-28 00:31:58
200179,125611,2026-01-12,3,2694.65,Defective,2026-01-15 07:50:03,2026-01-12 02:50:03,2026-01-15 07:50:03
200180,104670,2026-01-02,1,6472.69,Customer Changed Mind,2026-01-06 00:50:16,2026-01-02 04:50:16,2026-01-06 00:50:16
200181,141424,2026-01-03,1,1875.31,Damaged,2026-01-05 14:36:33,2026-01-03 00:36:33,2026-01-05 14:36:33
200182,147670,2026-01-17,1,2296.07,Wrong Product,2026-01-19 21:59:35,2026-01-17 15:59:35,2026-01-19 21:59:35
200183,124498,2026-01-15,1,687.22,Wrong Product,2026-01-18 22:25:04,2026-01-15 17:25:04,2026-01-18 22:25:04
